title
Everything Everywhere All At Once
The Fabelmans
Pearl 2022
X 2022
The Big Lebowski
Midsommar
Bodies Bodies Bodies
The Truman Show
Marcel The Shell With Shoes On
1917
Dazed And Confused
Shutter Island
Se7En
Annihilation
Close 2022
Zodiac
The Lighthouse 2019
Face Off
Fargo
Uncut Gems
Becky
Pleasure 2021
Men 2022
Major League
Chinatown
All Day Long
Bridge Of Spies
La Chaqueta Metalica
Les Gangs De New York
Under The Silver Lake
City Of God
Snowpiercer
Shooter 2007
Lady Bird
Mileage My Life
The Killing Of A Sacred Deer
Wargames
The Talented Mr Ripley
Youre Killing Me 2023
Margin Call
Primal Fear
The Jerk
The King Of Comedy
Road To Perdition
The Inspection
Misery Stephen King
Bringing Out The Dead
Dances With Wolves
3 Days To Kill
The Lovely Bones
Inside Llewyn Davis
Old Henry
Source Code
Existenz
Leaving Las Vegas
Le Jeu Du Defi
1Super8
Boyhood 2014
View From The Top
Big Night
Shes All That
Begin Again
Stillwater 2021
Lamb 2021
892
The Florida Project
Pride 2014
Valley Girl 1983
The Disaster Artist
Climax 2018
Seabiscuit
Friday The 13Th 1980
Muriels Wedding
A Little Game
Bandit
American Cherry
Logan Lucky
Jason X
Good Time
A Ghost Story 2017
Personality Crisis One Night Only
2Nd Chance
Gods And Monsters
Hit The Road
The Conversation
The Warriors 1979
April Fools Day 1986
Little Darlings
Dio Dreamers Never Die
Red Rocket
Michael Moore Sicko
Carrie 1976
Victoria
The Good Boss
Mona Lisa And The Blood Moon
Witness
The Bling Ring
Saturday Night Fever
Meet Me In The Bathroom
Murina
Serpico
The Sunlit Night
Fyra Brollop Och En Begravning
High Life 2018
Le Passeur
Defiance
Days Of Thunder
The Parallax View
Dead For A Dollar
In Fabric
A Love Song
Beanpole
Run And Gun
Anvil The Story Of Anvil
Nothing Compares
Friday The 13Th Part 2
Boy
The Watermelon Woman
Marathon Man
The Lovers 2017
5 25 77
Days Of Heaven
The Squid And The Whale
The Souvenir Part Ii 2021
Paradise Hills
The Last Manhunt
Columbus
The Manchurian Candidate
Meeks Cutoff
It Comes At Night
Infinite Storm 2022
Down To You
Fly Away Home
The Man In The Iron Mask
Crystal Japan
Ends Of The Earth
Hugo
Black Snake Moan
The Longest Yard
The Souvenir
Broadcast Signal Intrusion
Wild Bill
Friday The 13Th The Final Chapter
Set It Off 1996
Nothing Lasts Forever
The Private Life Of A Modern Woman
The Death Of Dick Long
Drinking Buddies
Mcenroe
Jfk Revisited Through The Looking Glass
Montana Story
Good Mourning
Into The Blue
The Novice 2021 0
As They Made Us 2022
Bio Dome
Zack And Miri Make A Porno
The Lookout
The Kingmaker
Match Point
The F Word
Like Crazy
Double Condamnation
Immanence
Street Smart
V For Vengeance
Bacurau
Tone Deaf
