title,imdb_id
Death on the Nile,tt7657566
Rush Hour,tt0120812
Sex Tape,tt1956620
Out of Death,tt12528166
Ida Red,tt11388416
Billy Madison,tt0112508
Insurgent,tt3109410
Paul Blart: Mall Cop 2,tt3450650
For the Love of Money,tt14151720
Wrong Place,tt15837458
Eight Crazy Nights,tt0271263
Burn,tt8009314
Wrong Turn,tt0295700
Tentacles,tt0076809
Volunteers,tt0090274
We're the Millers,tt1723121
Divergent,tt1840309
The Campaign,tt1790886
The State of Texas vs. Melissa,tt11905848
How High,tt0278488
The New Mutants,tt4682266
The Drop,tt1600196
The Proposal,tt1041829
John Wick: Chapter 3 – Parabellum,tt6146586
Sonic the Hedgehog,tt12412888
Pain &amp; Gain,tt1980209
Sicario: Day Of The Soldado,tt5052474
Click,tt0389860
Fury,tt2713180
Crime Story,tt9804272
Jurassic Park,tt0107290
A Million Ways to Die in the West,tt2557490
True History of the Kelly Gang,tt4844140
Project X,tt1636826
Suitcase Killer: The Melanie McGuire Story,tt19813094
The Fast and the Furious,tt0232500
Barbarian,tt15791034
Rio,tt1436562
The Contractor,tt10323676
Four Good Days,tt10344522
Last Looks,tt9244554
Underworld: Blood Wars,tt3717252
Napoleon Dynamite,tt0374900
Barb and Star Go to Vista Del Mar,tt3797512
Ray Donovan: The Movie,tt14124268
Godzilla vs. Kong,tt5034838
Twilight,tt1099212
Nobody,tt7888964
Grimcutty,tt17196124
The Offering,tt13111040
Resident Evil: Welcome to Raccoon City,tt6920084
Summer of Sam,tt0162677
2 Guns,tt1272878
"Good Luck to You, Leo Grande",tt13352968
Greenland,tt7737786
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126
R.I.P.D.,tt0790736
The Unbearable Weight of Massive Talent,tt11291274
John Tucker Must Die,tt0455967
A Man Apart,tt0266465
Christmas Vacation 2: Cousin Eddie's Island Adventure,tt0367623
Obsessed,tt1198138
Dodgeball: A True Underdog Story,tt0364725
Man of Steel,tt0770828
The Good Neighbor,tt14349032
White People Money,tt11016222
Pitch Perfect,tt1981677
Coraline,tt0327597
The Immaculate Room,tt13698942
Thor: The Dark World,tt1981115
12 Strong,tt1413492
Hot Tub Time Machine,tt1231587
Topside,tt10506876
Cinderella,tt1661199
Bad Santa 2,tt1798603
Just Before I Go,tt2980472
Casino,tt0112641
Room 203,tt12283036
Transformers,tt0418279
Werewolves Within,tt9288692
On the Count of Three,tt11160650
Jingle All the Way,tt0116705
The King of Staten Island,tt9686708
Night of the Living Dead,tt0063350
The Holiday,tt0457939
Scream,tt17663992
POKÉMON Detective Pikachu,tt5884052
The Incredible Hulk,tt0800080
Safer at Home,tt13651858
Good Boys,tt6977338
Warm Bodies,tt1588173
Space Jam,tt0117705
Fifty Shades of Black,tt4667094
Bruce Almighty,tt0315327
Gone Mom: The Disappearance of Jennifer Dulos,tt14490832
Escape Room: Tournament of Champions,tt9844522
The Hating Game,tt8718158
The Suicide Squad,tt6334354
Alone Together,tt14584284
The Dry,tt5144174
House Party,tt8005118
Role Models,tt0430922
The Ledge,tt6805938
Ted,tt1637725
Fire Island,tt15218000
Gasoline Alley,tt14174168
Gone in the Night,tt15426294
Elf,tt0319343
God Forbid: The Sex Scandal That Brought Down a Dynasty,tt22695428
The War with Grandpa,tt4532038
Prey,tt11866324
The Heat,tt2404463
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",tt11422728
Medieval,tt8883486
Jumper,tt0489099
Horrible Bosses 2,tt2170439
Hellraiser,tt0887261
A Journal for Jordan,tt0995854
The Devil You Know,tt14591594
Independence Day,tt0116629
22 Jump Street,tt2294449
This Is the End,tt1245492
Predator,tt0093773
The Equalizer,tt0455944
The King's Man,tt6856242
Spider-Man: Far from Home,tt6320628
Pig,tt11003218
The Rental,tt10003008
Bad Boys for Life,tt1502397
Panama,tt4029412
The Commando,tt12689248
Shrek,tt0126029
Spartan,tt0360009
History of the World: Part I,tt0082517
Megalodon Rising,tt15295912
Dead for a Dollar,tt14895206
The Green Knight,tt9243804
